Lf.-Nr.               , Reg.-Pos.             , ab                    , bis                   , Produktbezeichnung           , Hersteller                                                                          , Land    , Typ    , n     , Bemerkungen
080                   , 21.1                  , 1988                  , 1998                  , ARI 550                      , Baustahl  Gesellschaft                                                              , A       , T      , 83    , 
081                   , 22.1                  , 1988                  , 1990                  , ARI-Ring 550                 , Annahütte  Max Aicher GmbH                                                          , D       , KR     , 42    , 
082                   , 22.2                  , 1991                  , 1998                  , ARI-Ring 550 KR              , Annahütte Max Aicher GmbH                                                           , D       , KR     , 12    , 
083                   , 23.1                  , 1988                  , 1990                  , ALFA 500 T                   , Alfa Acciai S.r.l.                                                                  , I       , KR     , 33    , 1991 Ersatz durch ALFIL 500
084                   , 23.1                  , 1991                  , 1998                  , ALFIL 500                    , Alfa Acciai S.r.l. / ALFA  DERIVATI S.r.l.                                          , I       , KR     , 0     , 
085                   , 23.2                  , 1988                  , 1993                  , ALFA 500 S (WR)              , Alfa Acciai S.r.l.                                                                  , I       , WR     , 0     , 
086                   , 23.3                  , 1988                  , 1991                  , ALFA 500 S (NH)              , Alfa Acciai S.r.l.                                                                  , I       , NH     , 0     , 
087                   , 23.4                  , 1995                  , dato                  , ALFA 500 S                   , Alfa Acciai S.r.l.                                                                  , I       , T      , 0     , 
088                   , 23.5                  , 1998                  , 2002                  , ALFIL 500 SR                 , Alfa Acciai S.r.l.                                                                  , I       , WR     , 0     , 
089                   , 23.5                  , 2004                  , 2005                  , ALFA 500 SR                  , Alfa Acciai S.r.l.                                                                  , I       , WR     , 0     , 
090                   , 23.5                  , 2012                  , dato                  , ALFA RB                      , Alfa Acciai S.r.l.                                                                  , I       , WR     , 0     , 
091                   , 23.6                  , 2006                  , dato                  , ALFA 500 KS                  , Alfa Acciai S.r.l.                                                                  , I       , TR     , 0     , 
092                   , 24.1                  , 1988                  , 1994                  , Montafil                     , ILRO S.p.A.                                                                         , I       , KR     , 166   , 
093                   , 24.1                  , 1995                  , 2002                  , ILROFIL                      , ILRO S.p.A.                                                                         , I       , KR     , 0     , 
094                   , 24.1                  , 2003                  , dato                  , RIVAFIL                      , Riva Acciaio S.p.A.                                                                 , I       , KR     , 0     , 
095                   , 25.1                  , 1988                  , 1995                  , BST 500 KR                   , Hochwald  Drahtwerke GmbH                                                           , D       , KR     , 102   , 
096                   , 26.1                  , 1988                  , 1991                  , BVR 500                      , VEB Stahl-  und Walzwerk Brandenburg                                                , DDR     , WR     , 20    , 
097                   , 27.1                  , 1988                  , 1989                  , ALPA EUBAR 500 S             , Aciéries et laminatoirs de  Paris (ALPA)                                            , F       , T      , 0     , "Ende 1988 / Anfang 1989 so  bezeichnet, vorher und danach als Creloi 500 S"
098                   , 27.1                  , 1988                  , 2004                  , CRELOI 500 S (ALPA)          , Aciéries et laminatoirs de  Paris (ALPA)                                            , F       , T      , 0     , 
099                   , 27.1                  , 2004                  , dato                  , ALPA-Creloi 500 S            , ALPA Aciéries et laminoirs  de Paris                                                , F       , T      , 0     , 
100                   , 28.1                  , 1988                  , 1991                  , FERRERO ALS  500 S (NH)      , Acciaierie  Ferrero S.p.A.                                                          , I       , NH     , 0     , 
101                   , 28.2                  , 1992                  , 1998                  , Ferrero ALS 500 S (T)        , Acciaierie Ferrero S.p.A.                                                           , I       , T      , 0     , 
102                   , 29.1                  , 1989                  , 1999                  , Tempcore TCA 55              , Marienhütte  mbH                                                                    , A       , T      , 110   , 
103                   , 30.1                  , 1989                  , 1994                  , Ferpadana S 500 C            , "Ferriera  Padana S.p.A., Acciaierie Venete S.p.A"                                  , I       , T      , 57    , 
104                   , 31.1                  , 1989                  , dato                  , Val  Tempcore 500 S          , Ferriera  Valsabbia S.p.A.                                                          , I       , T      , 0     , 
105                   , 32.1                  , 1991                  , 1999                  , AUSTRIA DRAHT 500  S         , Austria Draht GmbH                                                                  , A       , KR     , 53    , 
106                   , 33.1                  , 1991                  , dato                  , Creloi 500  S                , Société  anonyme Iton Seine / Iton Seine S.A.S.                                     , F       , T      , 0     , 
107                   , 34.1                  , 1992                  , 1995                  , TZ 500 S                     , Trinecke Zelezarny AS                                                               , CZ      , T      , 56    , 
108                   , 35.1                  , 1995                  , 2004                  , MSS 500                      , Cardiff Rod  & Reinf. / Cardiff Bar & Sections / ASW Sheerness Steel / ARES  Rodange, GB / LUX, T      , 0     , "bis 2003  Produktion in GB, 2004 Produktion in LUX von ARES Rodange"
109                   , 36.1                  , 1996                  , 1996                  , Galtarossa                   , Officine e  Fonderie Galtarossa / RIVA ACCIAIO                                      , I       , KR     , 0     , 
110                   , 36.1                  , 1997                  , 2001                  , RIVAFIL CH                   , Officine e Fonderie  Galtarossa / RIVA ACCIAIO                                      , I       , KR     , 0     , 
111                   , 37.1                  , 1998                  , dato                  , LSW 500 S                    , Lech-Stahlwerke GmbH                                                                , D       , T      , 0     , 
112                   , 37.2                  , 1999                  , 2012                  , LSW 550 S                    , Lech-Stahlwerke GmbH                                                                , D       , T      , 0     , 
113                   , 37.3                  , 2010                  , 2012                  , LSW 450 Seismic              , Lech-Stahlwerke GmbH                                                                , D       , T      , 0     , 
114                   , 38.1                  , 2000                  , 2005                  , Bavaria-Stahl  500 S         , Häuslschmid  GmbH                                                                   , D       , KR     , 0     , 
115                   , 39.1                  , 2001                  , 2005                  , ICDAS-S 500 C                , İçdaş A.S.                                                                          , TR      , T      , 0     , 
116                   , 40.1                  , 2003                  , 2005                  , LIEPAJAS  500 S              , LIEPAJA /  Liepajas Metalurgs AG                                                    , LV      , T      , 0     , 
117                   , 41.1                  , 2005                  , 2006                  , EKINCILER  500 S             , "Ekinciler  Iron and Steel Industries, Inc."                                        , TR      , T      , 0     , 
